file	nr	chembl_id	inchi_key	tautomer_smiles	smile
vanwesten_tauromer.csv	267	IPA_3	RFAXLXKIAKIUDT-UHFFFAOYSA-N	Oc2ccc1ccccc1c2SSc4c(O)ccc3ccccc34	Oc2ccc1ccccc1c2SSc4c(O)ccc3ccccc34
vanwesten_tauromer.csv	268	IRAK_1_4_Inhibitor	QTCFYQHZJIIHBS-UHFFFAOYSA-N	O=C(Nc2nc1ccccc1n2CCN3CCOCC3)c4cccc(c4)[N+](=O)[O-]	O=C(Nc2nc1ccccc1n2CCN3CCOCC3)c4cccc(c4)[N+](=O)[O-]
vanwesten_tauromer.csv	269	Ischemin	UUECJWRVDTUDCB-UHFFFAOYSA-N	O=S(=O)(O)c2cc(N=Nc1cc(c(O)cc1(N))C)c(cc2C)C	O=S(=O)(O)c2cc(N=Nc1cc(c(O)cc1(N))C)c(cc2C)C
vanwesten_tauromer.csv	270	Isogranulatimide	WXUJAQBSBZLVEV-UHFFFAOYSA-N	O=C1NC(=O)C5=C1c2cncn2c4[nH]c3ccccc3c45	O=C1NC(=O)C5=C1c2cncn2c4[nH]c3ccccc3c45
vanwesten_tauromer.csv	271	JAK_Inhibitor_I	VNDWQCSOSCCWIP-UHFFFAOYSA-N	Fc1ccc3c(c1)c4c(O)nccc4(c2nc([nH]c23)C(C)(C)C)	O=C2NC=Cc3c4[nH]c(nc4(c1ccc(F)cc1c23))C(C)(C)C
vanwesten_tauromer.csv	272	JAK3_Inhibitor_VI	IQNTXIMXKCURDC-UHFFFAOYSA-N	O=C3Nc1ccc(cc1C3(=Cc2ccc[nH]2))c4cnccc4	O=C3Nc1ccc(cc1C3(=Cc2ccc[nH]2))c4cnccc4
vanwesten_tauromer.csv	273	JD123	TXTUDXNTPIORFT-UHFFFAOYSA-N	n1cccc(c1)Nc2nc(cs2)c3c(nc(N)s3)C	n1cccc(c1)Nc2nc(cs2)c3c(nc(N)s3)C
vanwesten_tauromer.csv	274	JD124	YVRQKSOREGRFCC-UHFFFAOYSA-N	n1c(cccc1C)Nc2nc(cs2)c3c(nc(N)s3)C	n1c(cccc1C)Nc2nc(cs2)c3c(nc(N)s3)C
vanwesten_tauromer.csv	275	JNJ_10198409	ZDNURMVOKAERHZ-UHFFFAOYSA-N	Fc1cccc(c1)Nc4[nH]nc3c2cc(OC)c(OC)cc2Cc34	Fc1cccc(c1)Nc3n[nH]c4c2cc(OC)c(OC)cc2Cc34
vanwesten_tauromer.csv	276	JNJ_28312141	GUBJNPWVIUFSTR-UHFFFAOYSA-N	N#Cc1nc([nH]c1)C(=O)Nc2ccc(cc2C3=CCCCC3)C4CCN(C(=O)CN(C)C)CC4	N#Cc1cnc([nH]1)C(=O)Nc2ccc(cc2C3=CCCCC3)C4CCN(C(=O)CN(C)C)CC4
vanwesten_tauromer.csv	277	JNJ_7706621	KDKUVYLMPJIGKA-UHFFFAOYSA-N	O=C(c1c(F)cccc1(F))n2nc(nc2(N))Nc3ccc(cc3)S(=O)(=O)N	O=C(c1c(F)cccc1(F))n2nc(nc2(N))Nc3ccc(cc3)S(=O)(=O)N
vanwesten_tauromer.csv	278	JNK_9L	VCUNSUCAAIMDKU-UHFFFAOYSA-N	N#Cc1cc(cc(c1)N2CCOCC2)c3nc(ncc3)Nc4ccc(cc4)n5nc(nc5)c6cnccc6	N#Cc1cc(cc(c1)N2CCOCC2)c3nc(ncc3)Nc4ccc(cc4)n5nc(nc5)c6cnccc6
