accession,kinase_name,hgnc_mgi,kinase_group
Q99986,VRK1,VRK1,CK1
Q9BQI3,HRI,EIF2AK1,Other
Q9BRS2,RIOK1,RIOK1,Atypical
Q9BTU6,PI4K2A,PI4K2A,Atypical
Q9BUB5,MNK1,MKNK1,CAMK
Q9BVS4,RIOK2,RIOK2,Atypical
Q9BWU1,CDK11,CDK19,CMGC
Q9BX84,ChaK2,TRPM6,Atypical
Q9BXA6,SSTK,TSSK6,CAMK
Q9BXA7,TSSK1,TSSK1B,CAMK
Q9BXM7,PINK1,PINK1,Other
Q9BXU1,SgK396,STK31,Other
Q9BYP7,Wnk3,WNK3,Other
Q9BYT3,STK33,STK33,CAMK
Q9BZL6,PKD2,PRKD2,CAMK
Q9C098,DCLK3,DCLK3,CAMK
Q9C0K7,STLK6,STRADB,STE
Q9H093,NuaK2,NUAK2,CAMK
Q9H0K1,QIK,SIK2,CAMK
Q9H1R3,skMLCK,MYLK2,CAMK
Q9H2G2,SLK,SLK,STE
Q9H2K8,TAO3,TAOK3,STE
Q9H2X6,HIPK2,HIPK2,CMGC
Q9H3Y6,SRM,SRMS,TK
Q9H422,HIPK3,HIPK3,CMGC
Q9H4A3,Wnk1,WNK1,Other
Q9H4B4,PLK3,PLK3,Other
Q9H792,SgK269,PEAK1,Other
Q9HAZ1,CLK4,CLK4,CMGC
Q9HBH9,MNK2,MKNK2,CAMK
Q9HBY8,SGK2,SGK2,AGC
Q9HC98,NEK6,NEK6,Other
Q9HCP0,CK1g1,CSNK1G1,CK1
Q9NQU5,PAK6,PAK6,STE
Q9NR20,DYRK4,DYRK4,CMGC
Q9NRH2,SNRK,SNRK,CAMK
Q9NRM7,LATS2,LATS2,AGC
Q9NRP7,Fused,STK36,Other
Q9NSY1,BIKE,BMP2K,Other
Q9NWZ3,IRAK4,IRAK4,TKL
Q9NY57,YANK2,STK32B,AGC
Q9NYL2,ZAK,MAP3K20,TKL
Q9NYV4,CRK7,CDK12,CMGC
Q9NYY3,PLK2,PLK2,Other
Q9NZJ5,PEK,EIF2AK3,Other
Q9P0L2,MARK1,MARK1,CAMK
Q9P1W9,PIM2,PIM2,CAMK
Q9P286,PAK5,PAK5,STE
Q9P289,MST4,STK26,STE
Q9UBE8,NLK,NLK,CMGC
Q9UBF8,PI4KB,PI4KB,Atypical
Q9UBS0,p70S6Kb,RPS6KB2,AGC
Q9UEE5,DRAK1,STK17A,CAMK
Q9UEW8,STLK3,STK39,STE
Q9UF33,EphA6,EPHA6,TK
Q9UHD2,TBK1,TBK1,Other
Q9UIK4,DAPK2,DAPK2,CAMK
Q9UKE5,TNIK,TNIK,STE
Q9UKI8,TLK1,TLK1,Other
Q9UL54,TAO2,TAOK2,STE
Q9UM73,ALK,ALK,TK
Q9UPE1,MSSK1,SRPK3,CMGC
Q9UPN9,TIF1g,TRIM33,Atypical
Q9UPZ9,ICK,ICK,CMGC
Q9UQ07,MOK,MOK,CMGC
Q9UQ88,CDK11a,CDK11A,CMGC
Q9UQB9,AurC,AURKC,Other
Q9UQM7,CaMK2a,CAMK2A,CAMK
Q9Y243,AKT3,AKT3,AGC
Q9Y2H1,NDR2,STK38L,AGC
Q9Y2H9,MAST1,MAST1,AGC
Q9Y2K2,QSK,SIK3,CAMK
Q9Y2U5,MAP3K2,MAP3K2,STE
Q9Y3S1,Wnk2,WNK2,Other
Q9Y463,DYRK1B,DYRK1B,CMGC
Q9Y4K4,KHS1,MAP4K5,STE
Q9Y572,RIPK3,RIPK3,TKL
Q9Y5S2,MRCKb,CDC42BPB,AGC
Q9Y616,IRAK3,IRAK3,TKL
Q9Y6E0,MST3,STK24,STE
Q9Y6M4,CK1g3,CSNK1G3,CK1
Q9Y6R4,MAP3K4,MAP3K4,STE
